DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
USA,AXM,110,108083,457256555
PAN,AXM,22,18547,78465124
DEU,BOG,576,4476,18142684
DEU,BOG,84,525,2221070
DEU,BOG,30,114,482290
DEU,BOG,90,314,1326296
DEU,BOG,5,31,129880
DEU,BOG,144,768,3249108
DEU,BOG,8,37,156533
DEU,BOG,32,33556,142239359
DEU,BOG,20,3280,13876401
DEU,BOG,50,7741,32750844
DEU,BOG,18,6624,28023561
DEU,BOG,25,6200,26229781
DEU,BOG,30,4920,20814601
DEU,BOG,35,6860,29021985
DEU,BOG,20,2560,10830362
DEU,BOG,1031,107926,456245758
DEU,BOG,2,11612,48933125
DEU,BOG,8960,1613,6823128
DEU,BOG,140,200772,846571857
DEU,BOG,4900,882,3715425
DEU,BOG,14400,2592,10918800
DEU,BOG,10555,1892,8006464
DEU,BOG,37203,6639,28097488
DEU,BOG,58832,15774,66022338
DEU,BOG,2825,452,1912236
DEU,BOG,23620,4263,17894160
DEU,BOG,9,18,76538
DEU,BOG,50,145,614427
DEU,BOG,78,195,829158
DEU,BOG,20,75,318907
DEU,BOG,271,1031,4381779
DEU,BOG,99,367,1561367
DEU,BOG,81,277,1177404
DEU,BOG,196,1008,4286107
DEU,BOG,1771,7254,30844661
DEU,BOG,29,164,697343
DEU,BOG,33,122,516629
DEU,BOG,140,3177,13465131
DEU,BOG,30,45145,190572836
DEU,BOG,285,98500,417526725
DEU,BOG,0,61500,260689275
DEU,BOG,106196,28408,119702135
DEU,BOG,10,620,2554414
DEU,BOG,270,9614,39617207
DEU,BOG,12,354,1456804
DEU,BOG,1,61,250534
DEU,BOG,32,150,637350
DEU,BOG,3,120,494474
DEU,BOG,1,3710,16274509
DEU,BOG,31,2410,10154151
DEU,BOG,4,328,1381592
DEU,BOG,27,3172,13366797
DEU,BOG,8,3407,13811566
DEU,BOG,24,1520,6377093
DEU,BOG,2,100,405376
DEU,BOG,2,5500,22662503
DEU,BOG,37600,6812,28848854
DEU,BOG,11520,2074,8735040
DEU,BOG,63680,11504,48459926
DEU,BOG,4400,836,3552164
DEU,BOG,8800,1672,7104328
DEU,BOG,5476,931,3921501
DEU,BOG,16438,3464,14591258
DEU,BOG,2802,3966,16778345
DEU,BOG,1,2402,9948709
DEU,BOG,1,362,1499115
DEU,BOG,1,2682,11107108
DEU,BOG,50,435,1846499
DEU,BOG,300,685,2908926
DEU,BOG,24480,4892,20786108
DEU,BOG,2250,672,2842970
DEU,BOG,26256,28492,120021960
DEU,BOG,23220,3200,13508873
DEU,BOG,70780,10801,45620438
DEU,BOG,1800,925,3918817
DEU,BOG,1550,10123,42949605
DEU,BOG,1,55000,222956800
DEU,BOG,2714,3215,14101533
DEU,BOG,125,9440,39906562
DEU,BOG,7100,1278,5383575
DEU,BOG,41367,7450,31383378
DEU,BOG,1,640,2717703
DEU,BOG,246,2082,8649214
DEU,BOG,7537,41130,174343901
DEU,BOG,1300,7800,33063030
DEU,BOG,2,1,4239
DEU,BOG,180,477,2021931
DEU,BOG,3420,18184,77078401
DEU,BOG,4800,624,2639901
DEU,BOG,20,85,360152
DEU,BOG,25,113,481099
DEU,BOG,130,489,2080933
DEU,BOG,26,113,480274
DEU,BOG,10,4,16928
DEU,BOG,13,158,670597
DEU,BOG,216,809,3514385
DEU,BOG,70,330,1419721
DEU,BOG,1125,5885,25281881
DEU,BOG,17,86,367381
DEU,BOG,1000,122,514645
DEU,BOG,319,5783,24295641
DEU,BOG,253671,1388,5812030
DEU,BOG,2040,277,1169124
DEU,BOG,2380,324,1363978
DEU,BOG,40200,6518,27682160
DEU,BOG,230280,36884,156569128
DEU,BOG,180,27,118440
DEU,BOG,4760,619,2617901
DEU,BOG,2380,309,1308951
DEU,BOG,13320,2131,9009414
DEU,BOG,91980,13691,57890366
DEU,BOG,8160,2448,10245904
DEU,BOG,8,8800,37301880
DEU,BOG,2,2200,9325470
DEU,BOG,4857,39695,167215188
DEU,BOG,834,8,35295
DEU,BOG,32845,4647,18835796
DEU,BOG,3381,2458784,10373020843
DEU,BOG,560,19753,83595034
DEU,BOG,2163,63864,280149128
DEU,BOG,300,883,3638920
ARM,BOG,60,0,494
ARM,BOG,448,1469,6443126
ARM,BOG,800,148,601003
ARM,BOG,1540,246,1080873
ARM,BOG,37690,5654,24799982
ARM,BOG,10560,3270,14256982
ARM,BOG,700,126,534095
ABW,BOG,2864,978,4289539
ABW,BOG,2532,866,3799900
ABW,BOG,1593,465,2037867
ABW,BOG,25,388,1699831
ABW,BOG,156,107,470864
ABW,BOG,161,651,2856812
ABW,BOG,4325,1384,5855164
ABW,BOG,3340,1564,6614559
ABW,BOG,169,931,3939544
ABW,BOG,13566,5148,21823550
ABW,BOG,564,214,907326
ABW,BOG,377,143,606495
ABW,BOG,1317,500,2118662
ABW,BOG,752,285,1209768
ABW,BOG,376,143,604884
ABW,BOG,29025,11015,46692289
ABW,BOG,91,644,2728336
ABW,BOG,30,88,361378
ABW,BOG,120,314,1293545
ABW,BOG,24,388,1636464
ABW,BOG,344,5766,24341041
ABW,BOG,75,2378,10038465
ABW,BOG,347,7476,31559956
ABW,BOG,41,205,858337
ABW,BOG,8,18,75985
ABW,BOG,4591,1391,6100309
ABW,BOG,200,61,265744
ABW,BOG,998,302,1326087
ABW,BOG,798,242,1060343
ABW,BOG,600,182,797232
ABW,BOG,200,61,265744
ABW,BOG,7985,2419,10610278
ABW,BOG,72,363,1591831
ABW,BOG,225,3300,13598046
ABW,BOG,86,1444,5950999
ABW,BOG,21,351,1445472
ABW,BOG,113,3389,13963916
ABW,BOG,241,5254,21651509
ABW,BOG,60,1683,6933355
ABW,BOG,228,4975,20501444
ABW,BOG,12,55,225233
ABW,BOG,52,582,2468706
ABW,BOG,29,231,977860
ABW,BOG,42,2394,10022195
ABW,BOG,37,1954,8179743
ABW,BOG,311,6636,27783324
ABW,BOG,144,6164,25810404
ABW,BOG,17,1099,4602361
ABW,BOG,325,15457,63692423
ABW,BOG,21,567,2336392
ABW,BOG,4725,1542,6687717
ABW,BOG,250,35,146545
ABW,BOG,1750,243,1045087
ABW,BOG,2630,658,2824402
ABW,BOG,1660,498,2147191
ABW,BOG,500,317,1376906
ABW,BOG,5437,2690,11577033
ABW,BOG,188,2514,10734050
ABW,BOG,60,123,517399
ABW,BOG,55,125,525195
ABW,BOG,168,367,1546172
ABW,BOG,60,123,526944
ABW,BOG,55,125,535375
ABW,BOG,168,367,1577244
ABW,BOG,389,348102,1508545745
